ticker,fund_name,sponsor,active,validation_keywords
XFLT,XAI Octagon FR & Alternative Inc Trust,XA Investments LLC,TRUE
ZTR,Virtus Total Return Fund Inc,"Virtus Investment Advisers, LLC",TRUE
ACV,Virtus Diversified Inc & Conv Fund,"Virtus Investment Advisers, LLC",TRUE
AEF,abrdn Emerging Markets ex-China Fund,abrdn Investments Limited,TRUE
AWP,abrdn Global Premier Properties,abrdn Inc.,TRUE
BANX,ArrowMark Financial Corp,"ArrowMark Asset Management, LLC",TRUE
BCV,Bancroft Fund,Gabelli Funds LLC,TRUE
BHV,BlackRock VA Municipal Bond,BlackRock,TRUE
BIT,BlackRock Multi-Sector Income Trust,BlackRock,TRUE
BKT,BlackRock Income,BlackRock,TRUE
BMN,BlackRock 2037 Municipal Target term,BlackRock,TRUE
BPRE,Bluerock Private Real Estate Fund,"Bluerock Fund Advisors, LLC",TRUE
BRW,Saba Capital Income & Opportunities Fund,"Saba Capital Management, LP",TRUE
BTX,BlackRock Tech and Private Equity Term,BlackRock,TRUE
CCIF,Carlyle Credit Income Ord,Carlyle Global Credit Inv Mgmt,TRUE
CEV,Eaton Vance CA Muni Inc,Eaton Vance Management,TRUE
CFND,C1 Fund Inc.,C1 Advisors LLC,TRUE
CPZ,Calamos L/S Equity & Dynamic Inc Trust,Calamos Advisors LLC,TRUE
CXH,MFS Investment Grade Municipal,MFS,TRUE
DMA,Destra Multi-Alternative,Destra Capital Advisors LLC,TRUE
DTF,DTF Tax-Free Income 2028 Term,Duff & Phelps,TRUE
DXYZ,Destiny Tech100 Inc,Destiny Advisors LLC,TRUE
ECAT,BlackRock ESG Capital Allocation Term,BlackRock,TRUE
EHI,Western Asset Global High Income,Franklin Templeton Investments,TRUE
EMO,ClearBridge Energy Midstream Opportunity,"Franklin Templeton Fund Adviser, LLC",TRUE
EOT,Eaton Vance National Municipal Opprs Tr,Eaton Vance Management,TRUE
ETX,EV Municipal Income 2028 Term Trust,Eaton Vance Management,TRUE
FAX,abrdn Asia-Pacific Income Fund Inc,abrdn Asia Limited,TRUE
FMY,First Trust Mortgage Income,First Trust Advisors L.P.,TRUE
FSCO,FS Credit Opportunities Corp.,FS Global Advisor LLC,TRUE,"fs credit,fs credit opportunities,fs global advisor"
FSSL,FS Specialty Lending Fund,FS Specialty Lending Advisor LLC,TRUE
FTHY,FIRST TRUST HY OPPORTUNITIES 2027 Term,First Trust Advisors L.P.,TRUE
GDL,GDL Fund,Gabelli Funds LLC,TRUE
GGT,Gabelli Multimedia,Gabelli,TRUE
GGZ,Gabelli Global Small & Mid Cap Value Tru,Gabelli,TRUE
GLU,Gabelli Global Utility & Income,Gabelli Funds LLC,TRUE
GRF,Eagle Capital Growth,Sims Capital Management LLC,TRUE
GUG,Guggenheim Active Allocation Fund,Guggenheim Funds Investment Advisors LLC,TRUE
HERZ,Herzfeld Credit Income Fund,Thomas J Herzfeld Advisors Inc,TRUE
IAF,abrdn Australia Equity Fund Inc,abrdn Asia Limited,TRUE
IGI,Western Asset Invstm Grd Opp Tr Inc,"Franklin Templeton Fund Adviser, LLC",TRUE
JHS,JHancock Income Secs,John Hancock Investment Management LLC,TRUE
JMM,Nuveen Multi-Market Income Fund,"Nuveen Fund Advisors, LLC.",TRUE
KF,Korea Fund,JPMorgan Asset Management (Asia Pacific) Limited,TRUE
MHF,Western Asset Municipal High Income,"Franklin Templeton Fund Adviser, LLC",TRUE
MPV,Barings Participation Invs,Barings LLC,TRUE
MXE,Mexico Equity & Income,Pichardo Asset Management SA De CV,TRUE
NAZ,Nuveen AZ Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NCV,Virtus Convertible & Income Fund,"Virtus Investment Advisers, LLC",TRUE
NCZ,Virtus Convertible & Income Fund II,"Virtus Investment Advisers, LLC",TRUE
NIM,Nuveen Select Maturity Muni,"Nuveen Fund Advisors, LLC.",TRUE
NMAI,Nuveen Multi-Asset Income,"Nuveen Fund Advisors, LLC.",TRUE
NMI,Nuveen Municipal Income,"Nuveen Fund Advisors, LLC.",TRUE
NMS,Nuveen MN Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NMT,Nuveen MA Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NNY,Nuveen NY Municipal Value,"Nuveen Fund Advisors, LLC.",TRUE
NOM,Nuveen MO Quality Muni Inc,"Nuveen Fund Advisors, LLC.",TRUE
NPCT,Nuveen Core Plus Impact Fund,"Nuveen Fund Advisors, LLC.",TRUE
NPFD,Nuveen Variable Rate Pref & Inc Fund,"Nuveen Fund Advisors, LLC.",TRUE
NXG,NXG NextGen Infrastructure Inc,Cushing Asset Management LP,TRUE
OXLC,Oxford Lane Capital Corp,Oxford Lane Management,TRUE
PAI,Western Asset Income,Franklin Templeton Investments,TRUE
PDCC,Pearl Diver Credit Company Inc,Pearl Diver Capital LLP,TRUE
PDX,PIMCO Dynamic Income Strategy Fund,PIMCO,TRUE
RCG,RENN Fund ord,Horizon Kinetics Asset Management LLC,TRUE
RMI,RiverNorth Opp Muni Income Fund Inc,"RiverNorth Capital Management, LLC",TRUE
RMM,RiverNorth Managed Duration Muni Inc Fd,"RiverNorth Capital Management, LLC",TRUE
RMMZ,RiverNorth Manage Dur Muni Inc Fd II Inc,"RiverNorth Capital Management, LLC",TRUE
RSF,RiverNorth Capital and Inc Fund,"RiverNorth Capital Management, LLC",TRUE
